央视,#genre#
CCTV1,http://27.210.20.247:4004/rtp/239.253.254.77:8000
CCTV1,http://27.12.235.98:8001/rtp/225.0.4.74:7980
CCTV1,http://27.12.235.98:8001/rtp/225.0.4.1:7980
CCTV1,http://27.223.171.195:4000/rtp/239.253.254.77:8000
CCTV1,http://39.65.40.122:4004/rtp/239.253.254.77:8000
CCTV1,http://171.122.194.218:8082/rtp/226.0.2.153:9136
CCTV1,http://171.122.194.218:8082/rtp/226.0.2.18:8056
CCTV1,http://27.12.234.211:8001/rtp/225.0.4.74:7980
CCTV1,http://27.12.234.211:8001/rtp/225.0.4.1:7980
CCTV1,http://27.12.234.211:8003/rtp/225.0.4.74:7980
CCTV1,http://27.12.234.211:8003/rtp/225.0.4.1:7980
CCTV1,http://60.223.78.50:7000/rtp/226.0.2.153:9136
CCTV1,http://60.223.78.50:7000/rtp/226.0.2.18:8056
CCTV1,http://171.113.177.141:8686/rtp/239.254.96.96:8550
CCTV1,http://171.113.177.141:8686/rtp/239.254.96.3:7992
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.14:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.30:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.86:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.119:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.1.17:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.1.144:5146
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.129:5146
CCTV1,http://183.188.229.95:8000/rtp/226.0.2.153:9136
CCTV1,http://183.188.229.95:8000/rtp/226.0.2.18:8056
CCTV1,http://183.162.112.8:8686/rtp/238.1.78.166:7200
CCTV1,http://123.146.83.174:8000/rtp/225.0.4.74:7980
CCTV1,http://123.146.83.174:8000/rtp/225.0.4.1:7980
CCTV1,http://183.164.63.130:5000/rtp/238.1.78.166:7200
CCTV1,http://14.109.226.24:8000/rtp/235.254.199.51:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.197.250:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.199.147:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.199.92:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.199.79:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.197.1:7980
CCTV1,http://14.109.226.24:8000/rtp/235.254.199.1:7980
CCTV1,http://27.10.95.231:4022/rtp/225.0.4.74:7980
CCTV1,http://27.10.95.231:4022/rtp/225.0.4.1:7980
CCTV1,http://122.231.215.14:4000/rtp/233.50.201.222:5140
CCTV1,http://122.231.215.14:4000/rtp/233.50.201.118:5140
CCTV1,http://122.231.215.14:4000/rtp/233.50.200.99:5140
CCTV1,http://122.231.215.14:4000/rtp/233.50.200.130:5140
CCTV1,http://122.231.215.14:4000/rtp/233.50.200.143:5140
CCTV1,http://122.231.215.14:4000/rtp/233.50.200.247:5140
CCTV2,http://116.237.61.115:4022/rtp/233.18.204.68:5140
CCTV2,http://116.237.61.115:4022/rtp/233.18.204.21:5140
CCTV2,http://106.80.125.176:7788/rtp/235.254.199.52:7980
CCTV2,http://106.80.125.176:7788/rtp/235.254.197.2:7980
CCTV2,http://106.80.125.176:7788/rtp/235.254.199.2:7980
CCTV2,http://182.138.203.158:8188/rtp/239.94.2.70:5140
CCTV2,http://182.138.203.158:8188/rtp/239.94.0.2:5140
CCTV2,http://182.138.203.158:8188/rtp/239.94.2.35:5140
CCTV2,http://182.138.203.158:8188/rtp/239.94.2.129:5140
CCTV2,http://182.138.203.158:8188/rtp/239.94.2.147:5140
CCTV2,http://36.24.65.177:8888/rtp/233.50.201.119:5140
CCTV2,http://36.24.65.177:8888/rtp/233.50.200.25:5140
CCTV2,http://36.24.65.177:8888/rtp/233.50.200.100:5140
CCTV2,http://114.243.168.34:8888/rtp/239.3.1.60:8084
CCTV2,http://14.145.179.245:8888/rtp/239.77.0.137:5146
CCTV2,http://14.145.179.245:8888/rtp/239.77.1.158:5146
CCTV2,http://113.95.132.166:30001/rtp/239.77.0.137:5146
CCTV2,http://113.95.132.166:30001/rtp/239.77.1.158:5146
CCTV2,http://116.233.67.80:8899/rtp/233.18.204.68:5140
CCTV2,http://116.233.67.80:8899/rtp/233.18.204.21:5140
CCTV2,http://113.95.132.166:554/rtp/239.77.0.137:5146
CCTV2,http://113.95.132.166:554/rtp/239.77.1.158:5146
CCTV2,http://114.243.96.219:8888/rtp/239.3.1.60:8084
CCTV2,http://61.187.186.29:4000/rtp/239.76.253.152:9000
CCTV2,http://61.187.186.29:4000/rtp/239.76.246.152:1234
CCTV2,http://117.86.48.47:7777/rtp/239.49.8.130:6000
CCTV2,http://117.86.48.47:7777/rtp/239.49.1.2:6000
CCTV2,http://114.254.76.186:4022/rtp/239.3.1.60:8084
CCTV2,http://123.114.99.216:4022/rtp/239.3.1.60:8084
CCTV2,http://t1.huase.ltd:8888/rtp/239.77.0.137:5146
CCTV2,http://t1.huase.ltd:8888/rtp/239.77.1.158:5146
CCTV2,http://27.17.212.242:8888/rtp/239.69.1.102:10250
CCTV2,http://27.17.212.242:8888/rtp/239.254.96.154:8998
CCTV2,http://171.83.102.106:8880/rtp/239.69.1.102:10250
CCTV2,http://171.83.102.106:8880/rtp/239.254.96.154:8998
CCTV2,http://114.254.185.98:8099/rtp/239.3.1.60:8084
CCTV2,http://14.118.74.55:10001/rtp/239.77.0.137:5146
CCTV2,http://14.118.74.55:10001/rtp/239.77.1.158:5146
CCTV2,http://114.250.22.176:8188/rtp/239.3.1.60:8084
CCTV2,http://202.105.239.77:8188/rtp/239.77.0.137:5146
CCTV2,http://202.105.239.77:8188/rtp/239.77.1.158:5146
CCTV2,http://114.243.107.27:8824/rtp/239.3.1.60:8084
CCTV2,http://117.86.49.60:7777/rtp/239.49.8.130:6000
CCTV2,http://117.86.49.60:7777/rtp/239.49.1.2:6000
CCTV2,http://58.48.135.97:8288/rtp/239.69.1.102:10250
CCTV2,http://58.48.135.97:8288/rtp/239.254.96.154:8998
CCTV2,http://125.66.145.111:8848/rtp/239.94.2.70:5140
CCTV2,http://125.66.145.111:8848/rtp/239.94.0.2:5140
CCTV2,http://125.66.145.111:8848/rtp/239.94.2.35:5140
CCTV2,http://125.66.145.111:8848/rtp/239.94.2.129:5140
CCTV2,http://125.66.145.111:8848/rtp/239.94.2.147:5140
CCTV2,http://42.85.213.14:6688/rtp/232.0.0.135:1234
CCTV2,http://183.141.122.171:9999/rtp/233.50.201.119:5140
CCTV2,http://183.141.122.171:9999/rtp/233.50.200.25:5140
CCTV2,http://183.141.122.171:9999/rtp/233.50.200.100:5140
CCTV2,http://27.18.35.149:6868/rtp/239.69.1.102:10250
CCTV2,http://27.18.35.149:6868/rtp/239.254.96.154:8998
CCTV2,http://123.54.206.105:8000/rtp/239.16.20.2:10020
CCTV2,http://123.54.206.105:8000/rtp/239.16.10.127:2000
CCTV2,http://27.18.50.220:8888/rtp/239.69.1.102:10250
CCTV2,http://27.18.50.220:8888/rtp/239.254.96.154:8998
CCTV2,http://27.19.67.44:8888/rtp/239.69.1.102:10250
